iter	MultiClass
0	0.947582328
1	0.8238489797
2	0.7264869947
3	0.6427818174
4	0.5737674221
5	0.5144296774
6	0.4628642172
7	0.4152338995
8	0.3756669944
9	0.3400518275
10	0.3099614018
11	0.2828527996
12	0.2585488189
13	0.236385684
14	0.216225614
15	0.198850004
16	0.1821695323
17	0.1674242199
18	0.1535021575
19	0.141467804
20	0.1302533978
21	0.1192094507
22	0.1103726624
23	0.1010061558
24	0.09362771416
25	0.08576725774
26	0.07958239011
27	0.07332195437
28	0.06814840494
29	0.06329997364
30	0.059018435
31	0.05480876805
32	0.05079447154
33	0.04766743862
34	0.04392486382
35	0.04083798033
36	0.03796718905
37	0.03520883708
38	0.03249504202
39	0.03049848437
40	0.02886010965
41	0.02659009671
42	0.02482666414
43	0.02290145584
44	0.02178313241
45	0.02051006774
46	0.01945271124
47	0.01836943043
48	0.01696901859
49	0.01610388527
50	0.01521463711
51	0.01458614744
52	0.01349618024
53	0.01277103125
54	0.01220798697
55	0.01157221078
56	0.01080465439
57	0.01039192778
58	0.009643273931
59	0.009200088988
60	0.00871159349
61	0.00838023824
62	0.008088348261
63	0.007806909292
64	0.00731056097
65	0.00685003409
66	0.006640432319
67	0.006436443915
68	0.006004942359
69	0.005713947896
70	0.005339443289
71	0.005207609795
72	0.005072022673
73	0.004967319383
74	0.004854790428
75	0.004712251832
76	0.004541729722
77	0.004423748868
78	0.00432325459
79	0.004183862552
80	0.004013007366
81	0.003939473693
82	0.003831530786
83	0.003726832535
84	0.003643224755
85	0.003557560905
86	0.003485905959
87	0.003390827627
88	0.003252983864
89	0.003173819728
90	0.0031274917
91	0.00304693505
92	0.002897464292
93	0.002818665359
94	0.002749802069
95	0.002690055504
96	0.002545895169
97	0.002455673149
98	0.0024042918
99	0.002357356953
100	0.002319777942
101	0.002256986897
102	0.002217064287
103	0.002179671516
104	0.002147787996
105	0.002122417926
106	0.002046149595
107	0.00200268372
108	0.001959473528
109	0.001922650081
110	0.001891322238
111	0.001868453154
112	0.001841436518
113	0.001822006246
114	0.001801931572
115	0.001775764808
116	0.001743853912
117	0.001705010878
118	0.001682846788
119	0.001658167557
120	0.001640584981
121	0.001616913373
122	0.001594397436
123	0.00156943608
124	0.001531180742
125	0.001507798733
126	0.001487935345
127	0.001465906287
128	0.001446266191
129	0.001427019068
130	0.001406038014
131	0.00138561744
132	0.001367320904
133	0.001347935708
134	0.001330713493
135	0.001313521122
136	0.001297909354
137	0.00128190369
138	0.001266925427
139	0.001252302498
140	0.001237036269
141	0.001222919104
142	0.001209559089
143	0.001196578218
144	0.001182956125
145	0.001170425969
146	0.001157497123
147	0.001145352897
148	0.001133499265
149	0.001122078005
150	0.001110770052
151	0.001099554857
152	0.001088904089
153	0.001078351097
154	0.001068033001
155	0.001058072941
156	0.001048197476
157	0.001038534326
158	0.001028923331
159	0.001019523742
160	0.001010323138
161	0.001001451177
162	0.0009931013186
163	0.0009844416155
164	0.0009762361883
165	0.0009680403452
166	0.0009598800065
167	0.0009518799333
168	0.0009440352947
169	0.0009363414512
170	0.0009287939457
171	0.0009206823262
172	0.0009134239958
173	0.0009062887048
174	0.0008992935875
175	0.0008924247704
176	0.0008856787289
177	0.0008790520684
178	0.0008725415184
179	0.0008663365494
180	0.0008600440296
181	0.000853858651
182	0.0008477775809
183	0.0008417980858
184	0.0008359175275
185	0.0008301333585
186	0.0008244431185
187	0.0008188444308
188	0.0008133349985
189	0.0008079126014
190	0.000802575093
191	0.0007973203971
192	0.0007921465052
193	0.0007870514738
194	0.0007821711423
195	0.0007772251512
196	0.0007723526405
197	0.0007674712429
198	0.0007627418909
199	0.0007580810111
200	0.0007534870468
201	0.0007489584887
202	0.000744493873
203	0.0007400917799
204	0.0007357508317
205	0.0007314696914
206	0.0007270154713
207	0.0007228521933
208	0.0007187449195
209	0.0007146924615
210	0.0007106936647
211	0.0007067474074
212	0.0007026373146
213	0.0006987948037
214	0.000695001631
215	0.0006907952065
216	0.0006867341938
217	0.0006830909064
218	0.0006794930037
219	0.0006759395895
220	0.0006724297915
221	0.0006689627605
