Primary Artist
Orillia
Ghost Tour
Maximiano
Conor Lynch
Janelane
Ellie Jackson
Narrowhaven
Off-Leash
Darryl Rahn
Max Niemann
Petey USA
Hyer
Windoe
Shame Gang
Tonique & Man
Robinson & Rohe
Jess Nolan
PJ Western
Emmitt James
Matthew Milia
summersets
BreezyBerg
G-Gifted
Marcus Rogers
Reggie Bonds
Jesiah
J.O.S.E.
Airport Sushi
Robben
Neyla Pekarek
Moira Bren
Urban Party Makers
GYNR
sadboy hour
Zach Pietrini
Peter Dack
Molly Annelle
Icarus Phoenix
Connor Brennan
Robert Leslie
Lott
Kyle Morgan
Alan Ward
Albert Gonzalez
Beloved Melodies
Pester
Katy Lootens
Druzu
Tj Dizzle SnoMan
itsjrad
Failures9997
Nozomi Lyn
Finnibwoi
Gary LeVox
1990nowhere
Holly Kluge
$ledge
Nicholas Ian Carter
Urban Party Biz
Kidsnot$aints.
Hinterländer
Joel Laviolette
Amber Sky Records
Paradise Lost Chillstep
Open Blue Sky
Hugo Lemieux
BriCie
The Violet Nines
SuperYou
Murray A. Lightburn
Dead Love Triangle
Perry Brown
Jake Paleschic
Leon in the Wild
David Wimbish & The Collection
Jack Schneider
First Rodeo
Color Temperature
Ivy Wye
OG Bey Harris
Cate Le Bon feat. Perfume Genius
Lyrical Harmonie
Fiji 13
Boban I Marco Markovic Orkesta
McKenna Bray
A.M. Stryker
Urban Jams United
Maxine J
Is This Thing On
Easy Sleeper
A.C. the Ruler
Last Days of Heaven
Chatham Rabbits
Gaiko
