Album Name,Artist Name(s),Album ID,Spotify URL
Feel It,"TOKiMONSTA,PARTYOF2",1Qug9yhly0QovQX9exYx42,open.spotify.com/album/1Qug9yhly0QovQX9exYx42
Flamingo Tower,Monde UFO,0XlAdNXmPXFPWdonLpsNRl,open.spotify.com/album/0XlAdNXmPXFPWdonLpsNRl
HOUSE Of ALL SOULS,HOUSE Of ALL,4JRQvGNvNPvoWkRz1cekbd,open.spotify.com/album/4JRQvGNvNPvoWkRz1cekbd
All Worlds,"Lust For Youth,Croatian Amor",0TQsFDYAoApv5HDz8lkSBm,open.spotify.com/album/0TQsFDYAoApv5HDz8lkSBm
Horses,Tobacco City,2hZMs9YQpRuRZsRldsMBcY,open.spotify.com/album/2hZMs9YQpRuRZsRldsMBcY
A Tip Toe High Wire,Sierra Hull,5EUfwyGGluE9F0VWG9RDoE,open.spotify.com/album/5EUfwyGGluE9F0VWG9RDoE
The Melancholy Season,Benmont Tench,371vi6f5K4IHvdZdjCliMd,open.spotify.com/album/371vi6f5K4IHvdZdjCliMd
Dirty Talk,Michi,6m7fALoAfXHx0cVmPgqPIS,open.spotify.com/album/6m7fALoAfXHx0cVmPgqPIS
I Felt Called,Fine China,0QlGS5BSQsHpCUCSXWzS8F,open.spotify.com/album/0QlGS5BSQsHpCUCSXWzS8F
Belly of the Beast,Combust,0AB11mtNyhhtnZaaqCWPJ8,open.spotify.com/album/0AB11mtNyhhtnZaaqCWPJ8
Idaho,Ingrown,0QXZtFELIRCAPSPYil0pHB,open.spotify.com/album/0QXZtFELIRCAPSPYil0pHB
Spring Break!,Harrison Gordon,1tvSkhvlUBmxLS1Vyvcdxy,open.spotify.com/album/1tvSkhvlUBmxLS1Vyvcdxy
Downward (2),Downward,4cPgEJ0ohF7m3Nu45aBhCO,open.spotify.com/album/4cPgEJ0ohF7m3Nu45aBhCO
The Open Up,Frog Eyes,7gQF3959fcALMqlXC0Nn07,open.spotify.com/album/7gQF3959fcALMqlXC0Nn07
Orion,Matt Embree,09O8mWsvYkkzJneZ4lYxlC,open.spotify.com/album/09O8mWsvYkkzJneZ4lYxlC
Eternal Reverie,TOKiMONSTA,7xDQlillR9FwIIoxgKSEQb,open.spotify.com/album/7xDQlillR9FwIIoxgKSEQb
Mirages 2,"JB Dunckel,Jonathan Fitoussi",4EJrtDEuDWlt6RR7Hrh35D,open.spotify.com/album/4EJrtDEuDWlt6RR7Hrh35D
Mill On The Hill,Melin Melyn,4tTefEgaW53zHYtrV9ZUHn,open.spotify.com/album/4tTefEgaW53zHYtrV9ZUHn
I Blow Out Big Candles (But With a Cherry on Top),Freak Slug,0zd0dbI6jBG4lVYatitkCT,open.spotify.com/album/0zd0dbI6jBG4lVYatitkCT
Gaman,Star 99,2yKtncNYgsI6U62w243r9i,open.spotify.com/album/2yKtncNYgsI6U62w243r9i
Colorado's On Fire Again,Richy Mitch & The Coal Miners,2cP15DvWBWQuNF4wnFxq5n,open.spotify.com/album/2cP15DvWBWQuNF4wnFxq5n
King of the World,Marty the Actor,74HZXIyqcZXLOIoPcLyrQm,open.spotify.com/album/74HZXIyqcZXLOIoPcLyrQm
"Small Sessions, Vol. 1",Foreign Fields,0xGqmzQcOpWA4YHyughUyn,open.spotify.com/album/0xGqmzQcOpWA4YHyughUyn
Ghosts in the Garden,"Kris Delmhorst,Rose Cousins",3oFmsgov9SndXlZSmCgijP,open.spotify.com/album/3oFmsgov9SndXlZSmCgijP
Lives Wisely,Sylvie Lewis,5PbXUdeij2DbA7eyFABYo9,open.spotify.com/album/5PbXUdeij2DbA7eyFABYo9
Voice at Dawn,Nick Brobak,3Sjv8oFEePnIEtCac3eGgP,open.spotify.com/album/3Sjv8oFEePnIEtCac3eGgP
Oceanside Countryside,Neil Young,40ChvqM7J5wXo5SgducJwt,open.spotify.com/album/40ChvqM7J5wXo5SgducJwt
Quality Mirrors,"Restless Mosaic,Nick Merchant",7lW6B5mrETBihTS7ir9QlT,open.spotify.com/album/7lW6B5mrETBihTS7ir9QlT
KRIPP KRONICLES I,"Base Hollow,Young Buck,WESTSIDE BOOGIE,Jadakiss",3b5AkvyO6LexjW3Oqbu77k,open.spotify.com/album/3b5AkvyO6LexjW3Oqbu77k
Shapeshifter,Big Green,3S3e0OYJbLnP4TqkZkuMQb,open.spotify.com/album/3S3e0OYJbLnP4TqkZkuMQb
the blue nihilist,Protection Spell,7pD5bkDplQyHp6z142RNnB,open.spotify.com/album/7pD5bkDplQyHp6z142RNnB
Tsunami Sea,Spiritbox,79sg58t1vRpcxudpP9uPtg,open.spotify.com/album/79sg58t1vRpcxudpP9uPtg
Coast To Coast Split,Pain of Truth,2ZMXFdmJ6zY7Ed4NPHVjgO,open.spotify.com/album/2ZMXFdmJ6zY7Ed4NPHVjgO
Tendrils,Saetia,24l9AuBslyt8mbJKWbhiZP,open.spotify.com/album/24l9AuBslyt8mbJKWbhiZP
The Lazer Collection,"BUG MOMENT,Heccra",0BjPeg0mbYHay2fpTq8jjx,open.spotify.com/album/0BjPeg0mbYHay2fpTq8jjx
Spider Towns,Old Pup,57J4xZLAjsEofrcXMisE4R,open.spotify.com/album/57J4xZLAjsEofrcXMisE4R
