Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,liked,playlist_origin,Primary Artist,Record Label_encoded,is_unknown_genre,Genres_encoded
I Didn't Mean To Do That,Friends and Family,Steven van Betten,2023-10-27,195329,7,indie folk,Future Gods,0.837,0.313,3.0,-13.498,1.0,0.0608,0.721,0.191,0.0897,0.661,117.11,50.0,df_fav_albums,Steven van Betten,55.71734508847621,0,75.28532969787886
Yosemite,Friends and Family,Steven van Betten,2023-10-27,281000,4,indie folk,Future Gods,0.619,0.506,7.0,-11.964,1.0,0.0287,0.321,0.126,0.111,0.569,121.937,50.0,df_fav_albums,Steven van Betten,55.71734508847621,0,75.28532969787886
Diving - feat. Holly Humberstone,My Big Day,"Bombay Bicycle Club,Holly Humberstone",2023-10-20,215986,42,"indie rock,indie",Mmm…Records Ltd,0.652,0.693,6.0,-7.018,1.0,0.0251,0.401,3.79e-05,0.114,0.622,95.013,50.0,df_fav_albums,Bombay Bicycle Club,58.915061053496615,0,65.44205780707026
Tekken 2 - feat. Chaka Khan,My Big Day,"Bombay Bicycle Club,Chaka Khan",2023-10-20,230400,28,"indie rock,indie",Mmm…Records Ltd,0.76,0.794,6.0,-6.805,1.0,0.033,0.0469,0.0,0.0509,0.876,108.004,50.0,df_fav_albums,Bombay Bicycle Club,58.915061053496615,0,65.44205780707026
Rural Radio Predicts The Rapture,My Big Day,Bombay Bicycle Club,2023-10-20,124173,24,"indie rock,indie",Mmm…Records Ltd,0.634,0.875,1.0,-8.845,1.0,0.0747,0.00586,0.909,0.304,0.618,144.042,50.0,df_fav_albums,Bombay Bicycle Club,58.915061053496615,0,65.44205780707026
Selling Soap,Friends and Family,Steven van Betten,2023-10-27,84000,3,indie folk,Future Gods,0.476,0.64,1.0,-7.228,1.0,0.0719,0.0815,5.23e-06,0.214,0.543,112.669,50.0,df_fav_albums,Steven van Betten,55.71734508847621,0,75.28532969787886
Meditate - feat. Nilufer Yanya,My Big Day,"Bombay Bicycle Club,Nilüfer Yanya",2023-10-20,323653,30,"indie rock,indie",Mmm…Records Ltd,0.596,0.577,3.0,-5.564,1.0,0.0301,0.0126,3.02e-05,0.126,0.686,139.222,50.0,df_fav_albums,Bombay Bicycle Club,58.915061053496615,0,65.44205780707026
Turn The World On,My Big Day,Bombay Bicycle Club,2023-10-20,210173,35,"indie rock,indie",Mmm…Records Ltd,0.552,0.768,0.0,-6.557,1.0,0.0247,0.0653,0.000186,0.0725,0.645,89.992,50.0,df_fav_albums,Bombay Bicycle Club,58.915061053496615,0,65.44205780707026
My Big Day,My Big Day,Bombay Bicycle Club,2023-10-20,168440,31,"indie rock,indie",Mmm…Records Ltd,0.698,0.534,10.0,-4.643,1.0,0.0381,0.154,0.0,0.219,0.565,93.263,50.0,df_fav_albums,Bombay Bicycle Club,58.915061053496615,0,65.44205780707026
Sleepless - feat. Jay Som,My Big Day,"Bombay Bicycle Club,Jay Som",2023-10-20,245866,26,"indie rock,indie,dream pop,indie pop",Mmm…Records Ltd,0.584,0.741,6.0,-5.16,1.0,0.0262,0.0306,0.00898,0.33,0.603,97.482,50.0,df_fav_albums,Bombay Bicycle Club,58.915061053496615,0,63.5857705072702
I Want To Be Your Only Pet,My Big Day,Bombay Bicycle Club,2023-10-20,214200,32,"indie rock,indie",Mmm…Records Ltd,0.309,0.841,9.0,-4.618,0.0,0.054,0.000396,0.0449,0.271,0.487,188.083,50.0,df_fav_albums,Bombay Bicycle Club,58.915061053496615,0,65.44205780707026
Just A Little More Time,My Big Day,Bombay Bicycle Club,2023-10-20,202000,33,"indie rock,indie",Mmm…Records Ltd,0.574,0.613,9.0,-5.183,0.0,0.0406,0.0234,0.772,0.189,0.719,174.945,50.0,df_fav_albums,Bombay Bicycle Club,58.915061053496615,0,65.44205780707026
Rose Tint,Lahai,Sampha,2023-10-20,166377,34,"electronic, soul, UK Garage, singer-songwriter",Young,0.57,0.263,3.0,-13.529,1.0,0.0464,0.843,6.23e-05,0.362,0.391,99.12,50.0,df_fav_albums,Sampha,43.2619559518828,0,65.05637561628556
What If You Hypnotise Me?,Lahai,"Sampha,Léa Sen",2023-10-20,218397,37,"electronic, soul, UK Garage, singer-songwriter",Young,0.476,0.496,5.0,-10.716,1.0,0.0407,0.317,0.0131,0.195,0.248,150.07,50.0,df_fav_albums,Sampha,43.2619559518828,0,65.05637561628556
