artist,album,art_url,spotify_url
Cassia,"everyone, outside",https://i.scdn.co/image/ab67616d0000b273f28cefa9b375fbd477495f0c,https://open.spotify.com/album/3OTLEJFqyTbgrArD8wYN1S
"Galactic, Irma Thomas",Audience With the Queen,https://i.scdn.co/image/ab67616d0000b273749f2485b364d2259c33a561,https://open.spotify.com/album/5apzPGL9pMN4bLMaNG4pQ6
Idle Heirs,Life is Violence,https://i.scdn.co/image/ab67616d0000b273edbf65a69eef01b3fb773824,https://open.spotify.com/album/0ZzKw2C6e16hOJFCzJ2qCu
Grandmas House,Anything For You,https://i.scdn.co/image/ab67616d0000b273087322638ea862a02d028648,https://open.spotify.com/album/1U9doeeShDxZxHINVULgZr
Trousdale,Growing Pains,https://i.scdn.co/image/ab67616d0000b273cae6d0db04a82a3f4fa24603,https://open.spotify.com/album/34ISREKShXsEfkYLbxExdJ
HONEYMOAN,Pink Hell,https://i.scdn.co/image/ab67616d0000b2736e132d9f3ca2dfca13a931da,https://open.spotify.com/album/55rL0l4dFnyycESlhE91NW
Briain,Cognitive Dissonance,https://i.scdn.co/image/ab67616d0000b273158b959db039d2b2d4519f21,https://open.spotify.com/album/2LfL6g2ia4EBJnLKq5ptuu
Eyedress,Stoner,https://i.scdn.co/image/ab67616d0000b27397fbbaf310b5f5fdcf93038c,https://open.spotify.com/album/57KwrtSpwCgoy1uOg6ssnd
Berner,Carbon,https://i.scdn.co/image/ab67616d0000b273daccbde1932e2a28bccb11a9,https://open.spotify.com/album/1Vju5A1U8srP9uV3RXkigs
Teen Mortgage,Devil Ultrasonic Dream,https://i.scdn.co/image/ab67616d0000b2738532fad382bce70904bc6591,https://open.spotify.com/album/4HJ8nqrbOMnRl9M3rV0kH2
The Wrecks,INSIDE :,https://i.scdn.co/image/ab67616d0000b2733205d33819cfb1b371c12797,https://open.spotify.com/album/7fRksONg2LUzGqXbIMd140
MARK,The Firstfruit - The 1st Album,https://i.scdn.co/image/ab67616d0000b273458a9f340084c41b7959205d,https://open.spotify.com/album/6c3cEkKxXpqpo8vNRWrv8s
Nell Smith,Anxious,https://i.scdn.co/image/ab67616d0000b2737d1c0cf1bdb98a03ab825905,https://open.spotify.com/album/3TnqVllDL3di6RA2owF0m4
Kuunatic,Wheels of Ömon,https://i.scdn.co/image/ab67616d0000b273cc343aec6738594ee0fefa2b,https://open.spotify.com/album/0ddkntr4oolhMq6I3h9YLD
Adja,Golden Retrieve Her,https://i.scdn.co/image/ab67616d0000b27347bd6ef561c9b6671619f831,https://open.spotify.com/album/5gHgxycuCf1hG5sUXRTMxd
The Mars Volta,Lucro sucio; Los ojos del vacio,https://i.scdn.co/image/ab67616d0000b273ef6973ad7311ea686ed82452,https://open.spotify.com/album/0eHXKWp81IW9Hv9pAvuEty
Clutter,Loves You,https://i.scdn.co/image/ab67616d0000b273a9222f7104c046255b62ca33,https://open.spotify.com/album/1qSLu8LDCcSGoSXhza9Kea
