Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,liked,playlist_origin,Record Label Frequency Encoded,Genres_encoded,Artist Centrality,mood_score,energy_profile,Primary Artist,album_id
spotify:track:22EOpCN5Z47OJRgZRRJjlZ,Perpetual Adoration,Tragic Magic,Julianna Barwick;Mary Lattimore,2026-01-16,333147,1.0,False,"ambient, experimental, dream pop, drone, folk, ambient pop, female vocalists, ethereal, electronic, american",InFiné,0.357,0.21,2.0,-10.953,1.0,0.0373,0.95,0.899,0.0762,0.0938,119.492,,df_nmf_test,1.473684210526316,1.0,1.0,15.047185568732253,49.677684061098965,Julianna Barwick;Mary Lattimore,julianna_barwick;mary_lattimore_tragic_magic
spotify:track:7hVn6i40goNNQQykPdzJju,The Four Sleeping Princesses,Tragic Magic,Julianna Barwick;Mary Lattimore,2026-01-16,425722,1.0,False,"ambient, experimental, dream pop, drone, folk, ambient pop, female vocalists, ethereal, electronic, american",InFiné,0.666,0.268,10.0,-10.148,0.0,0.0283,0.824,0.966,0.0705,0.0704,110.716,,df_nmf_test,1.473684210526316,1.0,1.0,26.618130950392523,45.767470717836034,Julianna Barwick;Mary Lattimore,julianna_barwick;mary_lattimore_tragic_magic
spotify:track:0giFRlECatzUl0T0iBMyhP,Rachel's Song,Tragic Magic,Julianna Barwick;Mary Lattimore,2026-01-16,255795,1.0,False,"ambient, experimental, dream pop, drone, folk, ambient pop, female vocalists, ethereal, electronic, american",InFiné,0.323,0.483,2.0,-13.111,0.0,0.0474,0.882,0.862,0.372,0.0525,117.543,,df_nmf_test,1.473684210526316,1.0,1.0,24.162560547853687,47.783110832478975,Julianna Barwick;Mary Lattimore,julianna_barwick;mary_lattimore_tragic_magic
spotify:track:0PXkI65DIBYObvvWLNhFbj,Haze with no Haze,Tragic Magic,Julianna Barwick;Mary Lattimore,2026-01-16,432925,1.0,False,"ambient, experimental, dream pop, drone, folk, ambient pop, female vocalists, ethereal, electronic, american",InFiné,0.373,0.314,7.0,-9.288,0.0,0.0319,0.937,0.959,0.198,0.0706,63.234,,df_nmf_test,1.473684210526316,1.0,1.0,19.784700183731417,22.751914459044905,Julianna Barwick;Mary Lattimore,julianna_barwick;mary_lattimore_tragic_magic
spotify:track:6X2KLB0Yg1VR0Ftedmlqeg,Temple of the Winds,Tragic Magic,Julianna Barwick;Mary Lattimore,2026-01-16,157427,1.0,False,"ambient, experimental, dream pop, drone, folk, ambient pop, female vocalists, ethereal, electronic, american",InFiné,0.334,0.232,1.0,-11.349,1.0,0.0372,0.989,0.962,0.0811,0.0789,133.045,,df_nmf_test,1.473684210526316,1.0,1.0,13.682979789544017,56.19009422802202,Julianna Barwick;Mary Lattimore,julianna_barwick;mary_lattimore_tragic_magic
spotify:track:4PlyxR8adGnbabN9ZOKX2M,Stardust,Tragic Magic,Julianna Barwick;Mary Lattimore,2026-01-16,431139,1.0,False,"ambient, experimental, dream pop, drone, folk, ambient pop, female vocalists, ethereal, electronic, american",InFiné,0.164,0.491,8.0,-8.087,1.0,0.0378,0.859,0.833,0.156,0.0381,129.279,,df_nmf_test,1.473684210526316,1.0,1.0,8.06493235343244,56.0690273419991,Julianna Barwick;Mary Lattimore,julianna_barwick;mary_lattimore_tragic_magic
spotify:track:3002ya6IvKzLHhHsB13rPC,Melted Moon,Tragic Magic,Julianna Barwick;Mary Lattimore,2026-01-16,517570,1.0,False,"ambient, experimental, dream pop, drone, folk, ambient pop, female vocalists, ethereal, electronic, american",InFiné,0.578,0.436,3.0,-8.475,1.0,0.0269,0.874,0.884,0.338,0.269,79.758,,df_nmf_test,1.473684210526316,1.0,1.0,42.248622014364464,31.379289002205205,Julianna Barwick;Mary Lattimore,julianna_barwick;mary_lattimore_tragic_magic
spotify:track:6TDEsRZoSIY9eHFCrusNhi,Young Love and Laughter,Your Picture,The Sha La Das,2026-01-16,174333,1.0,False,"soul, usa, daptone, doo wop",Diamond West Records,0.449,0.477,7.0,-9.285,1.0,0.034,0.259,0.33,0.186,0.429,110.801,,df_nmf_test,1.0,47.584899058546284,16.546717302229673,37.24653415734091,46.339202910197365,The Sha La Das,the_sha_la_das_your_picture
spotify:track:51zT4ap5n7d7SunVSYSJbq,Stop Using My Love,Your Picture,The Sha La Das,2026-01-16,170546,1.0,False,"soul, usa, daptone, doo wop",Diamond West Records,0.479,0.573,7.0,-6.793,0.0,0.0423,0.553,9.45e-05,0.107,0.697,85.93,,df_nmf_test,1.0,47.584899058546284,16.546717302229673,46.29989978286287,35.3280460887734,The Sha La Das,the_sha_la_das_your_picture
spotify:track:6j37aJT0fAi6EDFUB962Si,If You Want You Can Be My Girl,Your Picture,The Sha La Das,2026-01-16,149333,1.0,False,"soul, usa, daptone, doo wop",Diamond West Records,0.809,0.47,4.0,-8.146,0.0,0.0684,0.721,0.0234,0.0785,0.646,100.36,,df_nmf_test,1.0,47.584899058546284,16.546717302229673,56.65546183397361,41.739155391881354,The Sha La Das,the_sha_la_das_your_picture
