Album Name,Artist,Feedback,Timestamp
Poison,CATHEDRALE,Mid,2025-02-20 22:31:39
Out Of The Blue,Morgan Saint,Like,2025-02-20 22:32:03
Automatic,The Lumineers,Mid,2025-02-20 22:33:06
