Album,Artist,Predicted_Score,gut_score,gut_score_date,notes,Similar Artists
Loft,The Young Fresh Fellows,99.97267166576563,,,,"Game Theory, Fastbacks, Redd Kross, The Posies, Alex Chilton, Hoodoo Gurus, The Smithereens, The dB's"
IT'S THE LONG GOODBYE,The Twilight Sad,99.94830429945996,,,,"Frightened Rabbit, We Were Promised Jetpacks, There Will Be Fireworks, Owl John, MasterSystem, Idlewild, Arab Strap, The National"
Ricochet,Snail Mail,97.94093895358841,,,,"soccer mommy, Alvvays, Momma, Indigo De Souza, Jay Som, The Beths, Slow Pulp, Samia"
Runs to Blue,Big Harp,97.88788003158022,,,,"He's My Brother She's My Sister, AgesandAges, Kingsley Flood, Wheeler Brothers, Water Liars, Valleys, Harper Simon, David Wax Museum"
Pain Will Polish Me,New German Cinema,96.61478038961936,,,,"Paycheque, Mandaworld, Le Pain, Kate Teague, T. G. Shand, Patchnotes, untitled halo, Braxe & Falcon"
Moments Before The Wind,Free Throw,93.5239078010513,,,,"saturdays at your place, Hot Mulligan, Ben Quad, Mom Jeans., sports., Modern Baseball, Riley!, Michael Cera Palin"
The Former Site Of,The New Pornographers,87.38490040940285,,,,"A.C. Newman, Destroyer, Spoon, Stars, The Hold Steady, The Decemberists, Wolf Parade, The Shins"
Hurts Like Hell,Charlotte Cornfield,80.42840648014271,,,,"Hannah Georgas, Katy Kirby, squirrel flower, Allegra Krieger, Joanna Sternberg, Anna St. Louis, Julie Byrne, Helena Deland"
Everything Glows,Cannons,79.306700342836,,,,"New Constellations, Leisure, The Knocks, Blow, Poolside, Tender, Litany, Empire of the Sun"
Released,Lou Gramm,77.13966124792454,,,,"Eddie Money, Night Ranger, Bad English, Glass Tiger, Aldo Nova, Gerard McMann, .38 Special, Survivor"
Blinking As The Starlight Burns Out,Paula Kelley,76.67580722530903,,,,"The Imaginary Boy, Brideshead, Charming, Douglas Heart, South Ambulance, Piney Gir, Eric Matthews, Language of Flowers"
Ö,Fcukers,76.52752940915533,,,,"Confidence Man, Otha, 1tbsp, yunè pinku, SASSY 009, Romy, Debasement, Daphni"
Against The Dying Of The Light,José González,75.34663782378503,,,,"Junip, Alexi Murdoch, Nick Mulvey, Ben Howard, Iron & Wine, Gregory Alan Isakov, S. Carey, Ocie Elliott"
Psychic Sidekick,Rump State,74.72889699002516,,,,Maraudeur
CANDY,Justine Skye,73.88459587944033,,,,"Jeremih, Sevyn Streeter, Jacquees, Eric Bellinger, Kiana Ledé, Zandros, Maejor, Josh Levi"
Optimizer,Stuck,72.80707083738903,,,,"LANDOWNER, Lithics, Wombo, Deeper, Uranium Club, Sweeping Promises, Cola, R.M.F.C."
Hail Disaster,True Green,69.95569448430096,,,,"Westelaken, Dari Bay, Phil Geraldi, Bliss?, String Machine, Sonny Falls, Ford Chastain, American Culture"
Wishing Moon,Wintersleep,69.76847920882945,,,,"Hey Rosetta!, Dan Mangan, Sam Roberts, The Rural Alberta Advantage, Matthew Good, Said the Whale, Matt Mays, Matthew Good Band"
Shoulder to Shoulder,Buzzy Lee,69.20258267273618,,,,"Mr Twin Sister, Babeheaven, Grace Ives, Braids, Gus Dapperton, Daisy the Great, Remi Wolf, TOPS"
HiGHWAY TO HEAVEN,Nina Hagen,68.31582980747447,,,,"Nina Hagen Band, Lene Lovich, Klaus Nomi, Spliff, Xmal Deutschland, Siouxsie and the Banshees, Ideal, Fehlfarben"
Almost There,The Academy Is...,68.0678873513558,,,,"Cobra Starship, Cute Is What We Aim For, Fall Out Boy, Midtown, The Young Veins, Gym Class Heroes, Taking Back Sunday, Panic! at the Disco"
Spencer Cullum's Coin Collection 3,Spencer Cullum,66.6335567242006,,,,"Steve Gunn, Damien Jurado, Courtney Barnett, William Tyler, Buck Meek, Shannon Lay, This Is the Kit, Fred Neil"
Inanimate Objects of the 21st Century,The Pale White,65.44461285518055,,,,"The Amazons, Demob Happy, The Messenger Birds, VANT, The Reytons, Sick Joy, Dinosaur Pile-Up, Himalayas"
Zavier,Fetty Wap,65.23900989698619,,,,"Kid Ink, Rae Sremmurd, Jeremih, YNW Melly, PnB Rock, Meek Mill, Kent Jones, Migos"
The Long Surrender,NEEDTOBREATHE,64.74905595462208,,,,"Switchfoot, David Crowder Band, MercyMe, Tenth Avenue North, for KING & COUNTRY, TobyMac, Jeremy Camp, The Afters"
Lost on You,Tigers Jaw,63.93158725922871,,,,"Joyce Manor, Free Throw, Citizen, oso oso, The Hotelier, Modern Baseball, Balance and Composure, Marietta"
The Second I'm Asleep,The Boxer Rebellion,63.75736028489689,,,,"Racing Glaciers, Editors, Thirteen Senses, Guillemots, Manchester Orchestra, White Lies, The Maccabees, The Slow Show"
Stars and Teeth,Sophie May,62.74112836904922,,,,"runo plum, Margot Liotta, Matilda Mann, Bess Atwell, Tommy Lefroy, Leith Ross, Sarah Kinsley, The Army, The Navy"
MOO,King Tuff,60.236086529798094,,,,"Ty Segall, Natural Child, Mikal Cronin, Black Lips, Fuzz, Shannon and the Clams, Wand, Dead Ghosts"
Creature of Habit,Courtney Barnett,59.20354130222886,,,,"COURTNEY BARNETT & KURT VILE, Julia Jacklin, The Beths, Kurt Vile, Kevin Morby, Caroline Rose, Snail Mail, Angel Olsen"
Some Friendly,The Charlatans,57.56115533464761,,,,"Inspiral Carpets, Shed Seven, Happy Mondays, The Bluetones, Cast, Ocean Colour Scene, Ian Brown, The Stone Roses"
Honora,Flea,56.687429388733236,,,,"Ataxia, Red Hot Chili Peppers, Angine de poitrine, Omar Rodríguez-López, Shintaro Sakamoto, Banyan, Khruangbin, Les Claypool"
Electric Swamp Funkin' Blues,Selwyn Birchwood,56.44062314600776,,,,"Toronzo Cannon, Nick Moss Band, Funkwrench Blues, Dom Martin, The Reverend Shawn Amos, Chris Cain, Damon Fowler, Curtis Salgado"
Tunderizer,Rami Gabriel,55.9632065683944,,,,"Medicine Singers, The Narcotix, Daga Voladora, Congotronics International, The Good Missionaries, Joe Rainey, Frances Chang, Lonnie Holley"
WOR$T GIRL IN AMERICA,Slayyyter,55.876810319295544,,,,"Kim Petras, Cobrah, That Kid, Charli xcx, Chase Icon, Ayesha Erotica, Rebecca Black, ADÉLA"
Whatever's Clever!,Charlie Puth,55.61960816135409,,,,"Lauv, Benny Blanco, The Chainsmokers, JVKE, Nick Jonas, Shawn Mendes, bazzi, HRVY"
Sexistential,Robyn,51.71871452164185,,,,"Röyksopp & Robyn, Robyn & La Bagatelle Magique, Róisín Murphy, Kylie Minogue, Annie, Tove Lo, Jessie Ware, Carly Rae Jepsen"
HADES,Melanie Martinez,49.85495689106376,,,,"Jazmin Bean, Ashnikko, Marina, Lucy Loone, Lana Del Rey, Billie Eilish, Ellise, That Poppy"
Full Circle,Tom Misch,48.51498071887615,,,,"Tom Misch & Yussef Dayes, Jordan Rakei, Loyle Carner, Oscar Jerome, Barney Artist, Moonchild, Aaron Taylor, Gotts Street Park"
"FOREVER, forever",San Holo;Juelz,47.83621163044287,,,,
Skeletor,Chief Keef,47.82820583557233,,,,"Ballout, Capo, Fredo Santana, Gucci Mane, Tadoe, Young Thug, Lil Reese, Young Nudy"
The Setting Sun,Variant,47.2855618606929,,,,"cv313, Intrusion, Rod Modell, DeepChord, Phase90, DeepChord presents Echospace, Shorelights, Radius"
Future Present Past,Irreversible Entanglements,46.82059998863127,,,,"Moor Mother, Natural Information Society, Jaimie Branch, Angel Bat Dawid, Jeff Parker, Ben Lamar Gay, Rob Mazurek, Asher Gamedze"
Whole World As Vigil,Lauren Auder,45.571958901287076,,,,"Hemlocke Springs, ebbb, Jerskin Fendrix, ANOHNI, Christine and the Queens, Jennifer Walton, Perfume Genius, Storefront Church"
ELBOWS OUT! THIS IS CAPITALISM,PET NEEDS,42.420955133940474,,,,"The Sleeping Souls, Millie Manders and The Shutup, Mingle Harde, The Bar Stool Preachers, Ducking Punches, Eating Before Swimming, Sunliner, Primetime Failure"
Looking For Mount Sylvan,Innis Chonnel;Loris S. Sarid,42.400308105346504,,,,
Event Beat,Holy Fuck,40.683755765309066,,,,"Fuck Buttons, Suuns, The Octopus Project, Battles, Dan Deacon, Fujiya & Miyagi, Trans Am, Liars"
All Clouds Bring Not Rain,MEMORIALS,40.344213788797326,,,,"Fucked Up, Marschak, Honesty, Enola Gay, Electrelane, The Hard Quartet, Dummy, Our Girl"
Product of New York,Incendiary,39.671490684513294,,,,"Trapped Under Ice, Mindforce, Backtrack, Inclination, Terror, Pain of Truth, Have Heart, Drain"
