Artist Name,Album,Best Song,Genre,Release Date,Scrobble Score,Total Scrobbles,Avg Per Track,Obsession Score,Prediction Score,Similar Artists,Album Length,Discovery Method,Album Art URL,manual_boost,manual_notes,final_rank_override
Doves,Constellations For The Lonely,Cold Dreaming,"britpop,madchester",2025-02-28,0.0,0,0.0,0.0,0.0,,89.84136666666667,Spotify,,,,
Caamp,Copper Changes Color,Millions,"indie folk,folk",2025-06-06,0.0,0,0.0,0.0,0.0,,35.74995,Spotify,,,,
The Tubs,Cotton Crown,Freak Mode,"jangle pop,power pop",2025-03-07,0.0,0,0.0,0.0,0.0,,29.928833333333333,Spotify,,,,
Ken Pomeroy,Cruel Joke,Wolf In Sheep’s Clothes,,2025-05-16,0.0,0,0.0,0.0,0.0,,38.11943333333333,Spotify,,,,
Say She She,Cut & Rewind,Shop Boy,retro soul,2025-10-03,0.0,0,0.0,0.0,0.0,,43.58218333333333,Spotify,,,,
shame,Cutthroat,Cutthroat,post-punk,2025-09-05,0.0,0,0.0,0.0,0.0,,37.0368,Spotify,,,,
Naomi Westwater,Cycle & Change,First of May,,2025-05-09,0.0,0,0.0,0.0,0.0,,63.57743333333333,Spotify,,,,
sleepingdogs;Andrew;Jesse the Tree,DOGSTOEVSKY,ballin at last,underground hip hop,2025-04-04,0.0,0,0.0,0.0,0.0,,38.982533333333336,Spotify,,,,
"Tyler, The Creator;Pharrell Williams",DON'T TAP THE GLASS,Sugar On My Tongue,,2025-07-21,0.0,0,0.0,0.0,0.0,,28.509966666666667,Spotify,,,,
Nation of Language,Dance Called Memory,Now That You're Gone,synthpop,2025-09-19,0.0,0,0.0,0.0,0.0,,41.49143333333333,Spotify,,,,
Ora the Molecule,Dance Therapy,Intergalactic Dance,,2025-03-21,0.0,0,0.0,0.0,0.0,,44.78836666666667,Spotify,,,,
Gary Louris,Dark Country,Getting Older,"alt country,americana",2025-02-14,0.0,0,0.0,0.0,0.0,,46.61666666666667,Spotify,,,,
Roy Woods,Dark Nights,What I Used To Get Into,trap soul,2025-04-25,0.0,0,0.0,0.0,0.0,,26.194166666666668,Spotify,,,,
Circa Waves,"Death & Love, Pt. 1",We Made It,indie,2025-01-31,0.0,0,0.0,0.0,0.0,,29.77955,Spotify,,,,
Curtis Harding,Departures & Arrivals: Adventures of Captain Curt,The Power,retro soul,2025-09-05,0.0,0,0.0,0.0,0.0,,85.45543333333333,Spotify,,,,
