,feature,importance
2,Artist Centrality,0.4442283518078492
1,Genres_encoded,0.2021949374123129
3,Label_Category_encoded,0.18433647049447105
0,Popularity,0.06520079888842512
5,energy_profile,0.048646593272049045
4,mood_score,0.04430853415197226
6,Featured_Centrality_Score,0.01108431397292052
