,feature,importance
2,Artist Centrality,0.43324944114685326
1,Genres_encoded,0.2028551734806512
3,Label_Category_encoded,0.19363961794259796
0,Popularity,0.07068061993297783
5,energy_profile,0.0456020210832869
4,mood_score,0.04382535915681524
6,Featured_Centrality_Score,0.010147767256817625
